W,cell,Plant_Number,Anther_size
0,118,12,0.28
0,119,12,0.28
0,120,12,0.28
0,121,12,0.28
0,122,12,0.28
0,123,12,0.28
0,124,12,0.28
0,125,12,0.28
0,94,10,0.32
0,95,10,0.32
0,96,10,0.32
0,97,10,0.32
0,98,10,0.32
0,99,10,0.32
0,100,10,0.32
0,101,10,0.32
0,102,10,0.32
0,103,10,0.32
0,104,10,0.32
0,105,10,0.32
0,106,10,0.32
0,107,10,0.32
0,108,10,0.32
0,109,10,0.32
0,209,24,0.32
0,210,24,0.32
0,211,24,0.32
0,212,24,0.32
0,213,24,0.32
0,214,24,0.32
0,215,24,0.32
0,216,24,0.32
0,33,4,0.5
0,34,4,0.5
0,35,4,0.5
0,36,4,0.5
0,37,4,0.5
0,38,4,0.5
0,39,4,0.5
0,40,4,0.5
0,41,4,0.5
0,42,4,0.5
0,43,4,0.5
0,44,4,0.5
0,45,4,0.5
0,46,4,0.5
0,47,4,0.5
0,48,4,0.5
0,17,3,0.55
0,18,3,0.55
0,19,3,0.55
0,20,3,0.55
0,21,3,0.55
0,22,3,0.55
0,23,3,0.55
0,24,3,0.55
0,25,3,0.55
0,26,3,0.55
0,27,3,0.55
0,28,3,0.55
0,29,3,0.55
0,30,3,0.55
0,31,3,0.55
0,32,3,0.55
0,1,1,0.7
0,2,1,0.7
0,3,1,0.7
0,4,1,0.7
0,5,1,0.7
0,6,1,0.7
0,7,1,0.7
0,8,1,0.7
0,110,11,0.7
0,111,11,0.7
0,112,11,0.7
0,113,11,0.7
0,114,11,0.7
0,115,11,0.7
0,116,11,0.7
0,117,11,0.7
0,73,8,0.8
0,74,8,0.8
0,75,8,0.8
0,76,8,0.8
0,77,8,0.8
0,78,8,0.8
0,79,8,0.8
0,80,8,0.8
0,81,8,0.8
0,82,8,0.8
0,83,8,0.8
0,84,8,0.8
0,85,8,0.8
0,86,8,0.8
0,87,8,0.8
0,88,8,0.8
0,9,2,0.9
0,10,2,0.9
0,11,2,0.9
0,12,2,0.9
0,13,2,0.9
0,14,2,0.9
0,15,2,0.9
0,16,2,0.9
0,126,13,1.04
0,127,13,1.04
0,128,13,1.04
0,129,13,1.04
0,130,13,1.04
0,131,13,1.04
0,132,13,1.04
0,133,13,1.04
0,134,13,1.04
0,135,13,1.04
0,136,13,1.04
0,137,13,1.04
0,138,13,1.04
0,139,13,1.04
0,140,13,1.04
0,141,13,1.04
0,49,5,1.05
0,50,5,1.05
0,51,5,1.05
0,52,5,1.05
0,53,5,1.05
0,54,5,1.05
0,55,5,1.05
0,56,5,1.05
0,57,6,1.2
0,58,6,1.2
0,59,6,1.2
0,60,6,1.2
0,61,6,1.2
0,62,6,1.2
0,63,6,1.2
0,64,6,1.2
0,65,7,1.2
0,66,7,1.2
0,67,7,1.2
0,68,7,1.2
0,69,7,1.2
0,70,7,1.2
0,71,7,1.2
0,72,7,1.2
0,142,14,1.2
0,143,14,1.2
0,144,14,1.2
0,145,14,1.2
0,146,14,1.2
0,147,14,1.2
0,148,14,1.2
0,149,14,1.2
0,194,22,1.2
0,195,22,1.2
0,196,22,1.2
0,197,22,1.2
0,198,22,1.2
0,199,22,1.2
0,200,22,1.2
0,201,22,1.2
0,158,17,1.3
0,159,17,1.3
0,160,17,1.3
0,161,17,1.3
0,162,17,1.3
0,163,17,1.3
0,164,17,1.3
0,165,17,1.3
0,89,9,1.35
0,90,9,1.35
0,91,9,1.35
0,92,9,1.35
0,93,9,1.35
0,190,21,1.35
0,191,21,1.35
0,192,21,1.35
0,193,21,1.35
0,202,23,1.35
0,203,23,1.35
0,204,23,1.35
0,205,23,1.35
0,206,23,1.35
0,207,23,1.35
0,208,23,1.35
0,150,15,1.45
0,151,15,1.45
0,152,15,1.45
0,153,15,1.45
0,166,18,1.45
0,167,18,1.45
0,168,18,1.45
0,169,18,1.45
0,170,18,1.45
0,171,18,1.45
0,154,16,1.5
0,155,16,1.5
0,156,16,1.5
0,157,16,1.5
0,172,19,1.5
0,173,19,1.5
0,175,20,1.5
0,176,20,1.5
0,180,20,1.5
0,181,20,1.5
0,174,20,1.55
0,177,20,1.55
0,178,20,1.55
0,179,20,1.55
0,182,20,1.55
0,183,20,1.55
0,184,20,1.55
0,185,20,1.55
0,186,20,1.55
0,187,20,1.55
0,188,20,1.55
0,189,20,1.55
