Cell Number	Plant Number	Anther size (mm)	Date planted	Date harvested	Time from harvest to isolation	Cell diameter (um)	RT primer barcode (rep1)	Illumina barcode (rep1)	RT primer barcode (rep2)	Illumina barcode (rep2)	Quality control	Expression stage	Cell cycle phase																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1	1	0.7	01/11/17	02/13/17	01:13:42	21.8	dT_25s	RPI17	dT_2s	RPI20	PASS	AR	G2/M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
2	1	0.7	01/11/17	02/13/17	01:14:20	24.8	dT_31s	RPI17	dT_19s	RPI20	PASS	AR	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
3	1	0.7	01/11/17	02/13/17	01:15:58	23.9	dT_46s	RPI17	dT_5s	RPI20	PASS	AR	G2/M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
4	1	0.7	01/11/17	02/13/17	01:16:40	20.1	dT_19s	RPI17	dT_6s	RPI20	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
5	1	0.7	01/11/17	02/13/17	01:17:26	20.6	dT_5s	RPI17	dT_25s	RPI20	PASS	AR	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
6	1	0.7	01/11/17	02/13/17	01:18:04	23	dT_6s	RPI17	dT_9s	RPI20	PASS	AR	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
7	1	0.7	01/11/17	02/13/17	01:18:46	21.8	dT_26s	RPI17	dT_46s	RPI20	PASS	AR	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
8	1	0.7	01/11/17	02/13/17	01:20:32	19.5	dT_37s	RPI17	dT_31s	RPI20	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
9	2	0.9	01/25/17	03/01/17	01:27:06	24.2	dT_5s	RPI22	dT_5s	RPI21	PASS	AR/PMC	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
10	2	0.9	01/25/17	03/01/17	01:28:54	25.1	dT_26s	RPI22	dT_6s	RPI21	PASS	AR/PMC	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
11	2	0.9	01/25/17	03/01/17	01:29:20	26.5	dT_1s	RPI22	dT_2s	RPI21	PASS	AR/PMC	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
12	2	0.9	01/25/17	03/01/17	01:29:48	23.3	dT_23s	RPI22	dT_31s	RPI21	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
13	2	0.9	01/25/17	03/01/17	01:30:38	NA	dT_9s	RPI22	dT_26s	RPI21	PASS	AR/PMC	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
14	2	0.9	01/25/17	03/01/17	01:31:26	27.7	dT_2s	RPI22	dT_102X	RPI21	PASS	AR/PMC	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
15	2	0.9	01/25/17	03/01/17	01:32:08	24.2	dT_101X	RPI22	dT_101X	RPI21	PASS	AR/PMC	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
16	2	0.9	01/25/17	03/01/17	01:32:40	25.4	dT_4s	RPI22	dT_37s	RPI21	PASS	AR/PMC	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
17	3	0.55	02/01/17	03/03/17	01:04:28	23.6	dT_10s	RPI24	dT_37s	RPI28	PASS	AR	G2/M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
18	3	0.55	02/01/17	03/03/17	01:04:50	23	dT_5s	RPI24	dT_10s	RPI28	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
19	3	0.55	02/01/17	03/03/17	01:05:14	23.6	dT_23s	RPI24	dT_19s	RPI28	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
20	3	0.55	02/01/17	03/03/17	01:05:52	21.8	dT_37s	RPI24	dT_46s	RPI28	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
21	3	0.55	02/01/17	03/03/17	01:06:22	22.4	dT_19s	RPI24	dT_23s	RPI28	PASS	AR	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
22	3	0.55	02/01/17	03/03/17	01:06:50	20.1	dT_6s	RPI24	dT_5s	RPI28	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
23	3	0.55	02/01/17	03/03/17	01:07:36	22.4	dT_31s	RPI24	dT_101X	RPI28	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
24	3	0.55	02/01/17	03/03/17	01:08:18	20.4	dT_1s	RPI24	dT_31s	RPI28	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
25	3	0.55	02/01/17	03/03/17	01:10:22	20.6	dT_46s	RPI10	dT_9s	RPI7	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
26	3	0.55	02/01/17	03/03/17	01:12:20	20.6	dT_5s	RPI10	dT_2s	RPI7	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
27	3	0.55	02/01/17	03/03/17	01:13:10	24.2	dT_1s	RPI10	dT_46s	RPI7	PASS	AR	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
28	3	0.55	02/01/17	03/03/17	01:13:54	20.4	dT_4s	RPI10	dT_31s	RPI7	PASS	AR	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
