Gene	Gene score (% variance explained by pseudotime)				
Zm00001d039352	95.3				
Zm00001d019353	93.7				
Zm00001d041568	93.4				
MSTRG.5084	93.3				
MSTRG.17688	92.8				
MSTRG.4803	92.4				
MSTRG.1552	91.9				
MSTRG.6331	91.2				
Zm00001d019147	90.2				
Zm00001d006510	89.9				
Zm00001d029968	87.7				
Zm00001d022485	87.4				
Zm00001d008387	87.2				
Zm00001d050192	87				
Zm00001d005542	86.9				
Zm00001d033206	86.6				
MSTRG.5064	86.3				
Zm00001d046471	85.2				
Zm00001d022026	84.8				
Zm00001d027595	84.3				
Zm00001d026343	84.3				
Zm00001d043632	84.1				
Zm00001d044588	83.8				
MSTRG.5066	83.8				
MSTRG.5087	83.7				
Zm00001d036480	83.5				
MSTRG.11945	82.9				
Zm00001d048764	82.9				
MSTRG.20322	82.8				
MSTRG.9384	82.8				
Zm00001d048324	82.5				
MSTRG.8273	82.1				
MSTRG.18284	82				
MSTRG.1682	81.5				
Zm00001d039101	81.5				
Zm00001d022180	81.4				
Zm00001d014954	81.3				
Zm00001d045201	81.3				
Zm00001d043625	81.2				
Zm00001d042023	80.9				
Zm00001d013377	80.7				
Zm00001d037774	80.6				
Zm00001d033174	80.4				
Zm00001d026687	80.1				
Zm00001d050069	80				
Zm00001d022042	79.8				
Zm00001d007810	79.7				
Zm00001d009417	79.7				
Zm00001d021421	79.6				
MSTRG.16812	79.4				
Zm00001d027037	79.3				
Zm00001d038806	79.2				
Zm00001d031611	79				
Zm00001d032748	78.6				
Zm00001d022618	78.4				
Zm00001d014673	78.3				
MSTRG.19192	78.3				
Zm00001d015376	78.2				
Zm00001d028786	78.1				
Zm00001d045256	77.8				
Zm00001d007234	77.6				
Zm00001d047958	77.5				
Zm00001d013777	77.5				
MSTRG.14314	77.3				
Zm00001d037740	77				
Zm00001d020201	76.7				
Zm00001d031956	76.7				
Zm00001d033707	76.6				
Zm00001d022367	76.5				
Zm00001d007192	76.3				
Zm00001d011816	76.1				
Zm00001d019247	75.8				
Zm00001d005642	75.6				
Zm00001d037873	75.4				
Zm00001d032370	75.2				
Zm00001d052194	75.2				
Zm00001d048253	75.1				
Zm00001d012674	75				
MSTRG.11399	74.9				
Zm00001d037905	74.9				
Zm00001d018938	74.8				
MSTRG.6483	74.6				
Zm00001d043606	74.5				
MSTRG.14162	74.5				
Zm00001d032760	74.4				
Zm00001d045257	74.4				
Zm00001d013751	74.3				
Zm00001d013612	74.3				
Zm00001d026240	74				
MSTRG.18414	74				
Zm00001d026532	73.9				
MSTRG.1883	73.8				
Zm00001d048157	73.7				
Zm00001d051111	73.6				
Zm00001d011334	73.6				
Zm00001d028801	73.5				
Zm00001d049399	73.5				
Zm00001d024511	73.5				
Zm00001d052089	73.5				
Zm00001d049230	73.3				
Zm00001d040429	73.2				
Zm00001d053952	73.2				
Zm00001d018911	73.1				
Zm00001d006160	73				
Zm00001d022257	73				
MSTRG.17762	72.9				
Zm00001d047296	72.8				
MSTRG.4313	72.7				
Zm00001d016659	72.6				
MSTRG.5082	72.6				
Zm00001d015091	72.6				
Zm00001d005334	72.5				
Zm00001d033147	72.5				
Zm00001d021652	72.2				
Zm00001d037875	72.1				
Zm00001d043601	72.1				
Zm00001d041072	71.9				
Zm00001d033746	71.9				
Zm00001d053576	71.5				
Zm00001d003600	71.5				
Zm00001d011822	71.3				
Zm00001d014957	71.2				
Zm00001d050375	71.1				
Zm00001d010850	71.1				
MSTRG.16431	71				
Zm00001d029174	70.9				
Zm00001d047548	70.9				
Zm00001d003672	70.8				
MSTRG.2658	70.8				
MSTRG.14399	70.7				
Zm00001d015662	70.7				
MSTRG.11980	70.7				
Zm00001d028183	70.6				
MSTRG.6829	70.6				
Zm00001d014920	70.6				
Zm00001d019246	70.5				
Zm00001d048082	70.4				
Zm00001d010061	70.4				
MSTRG.4849	70.2				
Zm00001d042772	70.1				
Zm00001d013063	70				
Zm00001d007154	70				
Zm00001d006361	69.9				
Zm00001d037492	69.7				
Zm00001d038840	69.7				
Zm00001d042833	69.5				
Zm00001d003320	69.4				
Zm00001d053625	69.4				
Zm00001d047912	69.4				
Zm00001d006089	69.4				
Zm00001d023683	69.3				
Zm00001d010016	69.2				
Zm00001d014998	69.2				
MSTRG.15742	69.2				
MSTRG.14841	69.1				
Zm00001d021249	68.4				
