Cluster	Name	GO terms	GO source	Description (Direct description or transfer from target)
1	Zm00001d015955	GO:0007517 muscle organ development	 --- 	 --- 
1	Zm00001d015955	GO:0000290 deadenylation-dependent decapping of nuclear-transcribed mRNA		
1	Zm00001d015955	GO:0033962 cytoplasmic mRNA processing body assembly		
1	Zm00001d015955	GO:0006486 protein glycosylation		
1	Zm00001d015955	GO:0000932 cytoplasmic mRNA processing body		
1	Zm00001d015955	GO:0045087 innate immune response		
1	Zm00001d015955	GO:0048468 cell development		
1	Zm00001d015955	GO:0014706 striated muscle tissue development		
1	Zm00001d015955	GO:0022402 cell cycle process		
1	Zm00001d015955	GO:0051641 cellular localization		
1	Zm00001d015955	GO:0048518 positive regulation of biological process		
1	Zm00001d015955	GO:0003729 mRNA binding		
1	Zm00001d015955	GO:0006412 translation		
1	Zm00001d015955	GO:0016853 isomerase activity		
1	Zm00001d034867	GO:0006984 ER-nucleus signaling pathway	 --- 	 --- 
1	Zm00001d034867	GO:0016779 nucleotidyltransferase activity		
1	Zm00001d034867	GO:0006612 protein targeting to membrane		
1	Zm00001d034867	GO:0010363 regulation of plant-type hypersensitive response		
1	Zm00001d034867	GO:0030968 endoplasmic reticulum unfolded protein response		
1	Zm00001d034867	GO:0016567 protein ubiquitination		
1	Zm00001d034867	GO:0009862 systemic acquired resistance, salicylic acid mediated signaling pathway		
1	Zm00001d034867	GO:0032501 multicellular organismal process		
1	Zm00001d034867	GO:0016020 membrane		
1	Zm00001d034867	GO:0000165 MAPK cascade		
1	Zm00001d034867	GO:0006499 N-terminal protein myristoylation		
1	Zm00001d034867	GO:0006412 translation		
1	Zm00001d034867	GO:0050832 defense response to fungus		
1	Zm00001d034867	GO:0031348 negative regulation of defense response		
1	Zm00001d034867	GO:0009867 jasmonic acid mediated signaling pathway		
1	Zm00001d034867	GO:0009409 response to cold		
1	Zm00001d034867	GO:0031463 Cul3-RING ubiquitin ligase complex		
1	Zm00001d034867	GO:0004842 ubiquitin-protein transferase activity		
1	Zm00001d034867	GO:0009738 abscisic acid-activated signaling pathway		
1	Zm00001d034867	GO:0043069 negative regulation of programmed cell death		
1	Zm00001d034867	GO:0048856 anatomical structure development		
1	Zm00001d011096	GO:0048830 adventitious root development	 --- 	 --- 
1	Zm00001d011096	GO:0019048 modulation by virus of host morphology or physiology		
1	Zm00001d011096	GO:0010589 leaf proximal/distal pattern formation		
1	Zm00001d011096	GO:0019898 extrinsic component of membrane		
1	Zm00001d011096	GO:0090305 nucleic acid phosphodiester bond hydrolysis		
1	Zm00001d011096	GO:0031361 integral component of thylakoid membrane		
1	Zm00001d011096	GO:0051301 cell division		
1	Zm00001d011096	GO:0007062 sister chromatid cohesion		
1	Zm00001d011096	GO:0009733 response to auxin		
1	Zm00001d011096	GO:0006306 DNA methylation		
1	Zm00001d011096	GO:0009616 virus induced gene silencing		
1	Zm00001d011096	GO:0048864 stem cell development		
1	Zm00001d011096	GO:0045010 actin nucleation		
1	Zm00001d011096	GO:0005634 nucleus		
1	Zm00001d011096	GO:0009965 leaf morphogenesis		
1	Zm00001d011096	GO:0004521 endoribonuclease activity		
1	Zm00001d011096	GO:0006346 methylation-dependent chromatin silencing		
1	Zm00001d011096	GO:0010218 response to far red light		
1	Zm00001d011096	GO:0030529 intracellular ribonucleoprotein complex		
1	Zm00001d011096	GO:0071555 cell wall organization		
1	Zm00001d011096	GO:0009926 auxin polar transport		
1	Zm00001d011096	GO:0048646 anatomical structure formation involved in morphogenesis		
1	Zm00001d011096	GO:0009880 embryonic pattern specification		
1	Zm00001d011096	GO:0048765 root hair cell differentiation		
1	Zm00001d011096	GO:0044703 multi-organism reproductive process		
1	Zm00001d011096	GO:0045595 regulation of cell differentiation		
1	Zm00001d011096	GO:0007155 cell adhesion		
1	Zm00001d011096	GO:0010228 vegetative to reproductive phase transition of meristem		
1	Zm00001d011096	GO:0007267 cell-cell signaling		
1	Zm00001d011096	GO:0035198 miRNA binding		
1	Zm00001d011096	GO:0010072 primary shoot apical meristem specification		
1	Zm00001d011096	GO:0010073 meristem maintenance		
1	Zm00001d011096	GO:0009955 adaxial/abaxial pattern specification		
1	Zm00001d011096	GO:0010267 production of ta-siRNAs involved in RNA interference		
1	Zm00001d011096	GO:0009913 epidermal cell differentiation		
1	Zm00001d011096	GO:0010305 leaf vascular tissue pattern formation		
1	Zm00001d011096	GO:0035196 production of miRNAs involved in gene silencing by miRNA		
1	Zm00001d011096	GO:0035197 siRNA binding		
1	Zm00001d011096	GO:0010050 vegetative phase change		
1	Zm00001d011096	GO:0010090 trichome morphogenesis		
1	Zm00001d011096	GO:0009850 auxin metabolic process		
1	Zm00001d011096	GO:0005576 extracellular region		
1	Zm00001d011096	GO:0048439 flower morphogenesis		
1	Zm00001d011096	GO:0009855 determination of bilateral symmetry		
1	Zm00001d011096	GO:0010431 seed maturation		
1	Zm00001d011096	GO:0006413 translational initiation		
1	Zm00001d011096	GO:0005829 cytosol		
1	Zm00001d011096	GO:0003743 translation initiation factor activity		
1	Zm00001d009270	GO:0005737 cytoplasm	 --- 	 --- 
1	Zm00001d009270	GO:0009965 leaf morphogenesis		
1	Zm00001d009270	GO:0009944 polarity specification of adaxial/abaxial axis		
1	Zm00001d009270	GO:0005634 nucleus		
1	Zm00001d009270	GO:0016020 membrane		
1	Zm00001d009270	GO:0006605 protein targeting		
1	Zm00001d009270	GO:0048364 root development		
1	Zm00001d009270	GO:0003723 RNA binding		
1	Zm00001d009270	GO:0046825 regulation of protein export from nucleus		
1	Zm00001d009270	GO:0035281 pre-miRNA export from nucleus		
1	Zm00001d009270	GO:0005049 nuclear export signal receptor activity		
1	Zm00001d009270	GO:0042565 RNA nuclear export complex		
1	Zm00001d009270	GO:0051028 mRNA transport		
1	Zm00001d009270	GO:0048646 anatomical structure formation involved in morphogenesis		
1	Zm00001d009270	GO:0009910 negative regulation of flower development		
1	Zm00001d023222	GO:0006635 fatty acid beta-oxidation	 --- 	 --- 
1	Zm00001d023222	GO:0000085 mitotic G2 phase		
1	Zm00001d023222	GO:0006342 chromatin silencing		
1	Zm00001d023222	GO:0016881 acid-amino acid ligase activity		
1	Zm00001d023222	GO:0051567 histone H3-K9 methylation		
1	Zm00001d023222	GO:0043247 telomere maintenance in response to DNA damage		
